STATE_ID,ATTACK_LL,ATTACK_LR,ATTACK_RL,ATTACK_RR,SWAP_L2R,SWAP_L1R,SWAP_R1L,SWAP_R2L
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,-1.3819369258708545,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,-1.408240880567376,0.0,0.0,1.3810489914774327,0.0
18,0.0,0.0,0.0,-1.3856244156645516,0.0,0.0,1.381049524401583,0.0
19,0.0,0.0,0.0,1.3553790363435996,0.0,0.0,1.3785602741537604,1.3779766436459817
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,1.3801123813144367,0.0,-1.3849772204872912,0.0,1.380130310532726,0.0,0.0
22,0.0,-1.3840099322145911,0.0,0.0,0.0,-1.4331700755994774,1.3775449025426374,0.0
23,0.0,-1.380547989748951,0.0,1.4085830116313658,0.0,0.0,1.3834587366766624,0.0
