STATE_ID,ATTACK_LL,ATTACK_LR,ATTACK_RL,ATTACK_RR,SWAP_L2R,SWAP_L1R,SWAP_R1L,SWAP_R2L
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,-1.3973666640088938,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,-1.4414077758886807,0.0,0.0,1.3983261404634673,0.0
18,0.0,0.0,0.0,-1.4047093133361968,0.0,0.0,1.39717622636837,0.0
19,0.0,0.0,0.0,1.3735235686411709,0.0,0.0,1.398253884706115,1.3957326362873963
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,1.3696131681326809,0.0,-1.3988637161154767,0.0,1.3989202092108144,0.0,0.0
22,0.0,-1.3759379081829999,0.0,0.0,0.0,-1.4388933608675196,1.3979564296304448,0.0
23,0.0,-1.3715406040347342,0.0,1.3821556755452473,0.0,0.0,1.355650305258842,0.0
